name;county;province;lat;lon
Bielsko-Biała;;Śląskie;49.822118;19.448936
Jastrzębie-Zdrój;;Śląskie;49.9519085;18.6023614
Rybnik;;Śląskie;50.955793;18.5419933
Żory;;Śląskie;50.454961;18.6943479
Gliwice;;Śląskie;50.294113;18.6657306
Zabrze;;Śląskie;50.3086154;18.7863749
Ruda Śląska;;Śląskie;50.2858001;18.8747933
Bytom;;Śląskie;50.3470387;18.9231857
Świętochłowice;;Śląskie;50.2854551;18.9308513
Chorzów;;Śląskie;50.2978791;18.9544466
Piekary Śląskie;;Śląskie;50.3840312;18.9456429
Tychy;;Śląskie;50.114397;18.9965933
Mysłowice;;Śląskie;50.2414715;19.1414528
Katowice;;Śląskie;50.2598987;19.215852
Jaworzno;;Śląskie;50.203439;19.2721559
Siemianowice Śląskie;;Śląskie;50.3052029;19.275635
Sosnowiec;;Śląskie;50.2780834;19.1342944
Dąbrowa Górnicza;;Śląskie;50.3308692;19.2078918
Nowy Sącz;;Małopolskie;49.6249173;20.691346
Kraków;;Małopolskie;50.619474;19.9368564
Tarnów;;Małopolskie;50.123784;20.9880739
Krosno;;Podkarpackie;49.6938045;21.7651458
Tarnobrzeg;;Podkarpackie;50.5715277;21.6704871
Rzeszów;;Podkarpackie;50.374531;22.47174
Jelenia Góra;;Dolnośląskie;50.9031028;15.7344306
Legnica;;Dolnośląskie;51.2081617;16.1603187
Wałbrzych;;Dolnośląskie;50.7659054;16.2825424
Zielona Góra;;Lubuskie;51.9383777;15.5050408
Leszno;;Wielkopolskie;51.8436498;16.5744141
Gorzów Wielkopolski;;Lubuskie;52.7309926;15.2400451
Szczecin;;Zachodniopomorskie;53.4301818;14.5509623
Świnoujście;;Zachodniopomorskie;53.9097477;14.2510703
Koszalin;;Zachodniopomorskie;54.19092;16.17707
Wrocław;;Dolnośląskie;51.1089776;17.326689
Opole;;Opolskie;50.6668184;17.9236408
Kalisz;;Wielkopolskie;51.7624752;18.895358
Częstochowa;;Śląskie;50.8120466;19.113213
Łódź;;Łódzkie;51.7687323;19.4569911
Poznań;;Wielkopolskie;52.4082663;16.9335199
Konin;;Wielkopolskie;52.2301933;18.2521112
Bydgoszcz;;Kujawsko-Pomorskie;53.1219648;18.2529
Włocławek;;Kujawsko-Pomorskie;52.66017;19.722963
